ability,games,Description
Shell Armor,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",A hard shell protects the Pokémon from critical hits.
Shell Armor,"['Scarlet', 'Violet']",A hard shell protects the Pokémon from critical hits.
Skill Link,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",Increases the frequency of multi-strike moves.
Skill Link,"['Black', 'White', 'Black 2', 'White 2']",Increases the frequency of multi-strike moves.
Skill Link,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Increases the number of times multi-strike moves hit.
Skill Link,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",Maximizes the number of times multi-strike moves hit.
Skill Link,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",Maximizes the number of times multistrike moves hit.
Skill Link,"['Scarlet', 'Violet']",Maximizes the number of times multistrike moves hit.
Overcoat,"['Black', 'White', 'Black 2', 'White 2']",Protects the Pokémon from damage from weather.
Overcoat,"['X', 'Y', 'O.Ruby', 'A.Sapphire']","Protects the Pokémon from things like sand, hail, and powder."
Overcoat,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']","Protects the Pokémon from things like sand, hail, and powder."
Overcoat,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']","Protects the Pokémon from things like sand, hail, and powder."
Overcoat,"['Scarlet', 'Violet']",The Pokémon takes no damage from sandstorms. It is also protected from the effects of powders and spores.
Levitate,"['Ruby', 'Sapphire', 'FireRed', 'LeafGreen', 'Emerald']",Not hit by GROUND attacks.
Levitate,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",Gives full immunity to all Ground-type moves.
Levitate,"['Black', 'White', 'Black 2', 'White 2']",Gives full immunity to all Ground-type moves.
Levitate,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Gives full immunity to all Ground-type moves.
Levitate,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']","By floating in the air, the Pokémon receives full immunity to all Ground-type moves."
Levitate,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']","By floating in the air, the Pokémon receives full immunity to all Ground-type moves."
Levitate,"['Scarlet', 'Violet']","By floating in the air, the Pokémon receives full immunity to all Ground-type moves."
Cursed Body,"['Black', 'White', 'Black 2', 'White 2']",May disable a move used on the Pokémon.
Cursed Body,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",May disable a move used on the Pokémon.
Cursed Body,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",May disable a move used on the Pokémon.
Cursed Body,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",May disable a move used on the Pokémon.
Cursed Body,"['Scarlet', 'Violet']",May disable a move that has dealt damage to the Pokémon.
Weak Armor,"['Black', 'White', 'Black 2', 'White 2']",Physical attacks lower Defense and raise Speed.
Weak Armor,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Physical attacks lower its Defense stat and raise its Speed stat.
Weak Armor,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",Physical attacks to the Pokémon lower its Defense stat but sharply raise its Speed stat.
Weak Armor,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",Physical attacks to the Pokémon lower its Defense stat but sharply raise its Speed stat.
Weak Armor,"['Scarlet', 'Violet']","The Pokémon’s Defense stat is lowered when it takes damage from physical moves, but its Speed stat is sharply boosted."
Insomnia,"['Ruby', 'Sapphire', 'FireRed', 'LeafGreen', 'Emerald']",Prevents sleep.
Insomnia,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",Prevents the Pokémon from falling asleep.
Insomnia,"['Black', 'White', 'Black 2', 'White 2']",Prevents the Pokémon from falling asleep.
Insomnia,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Prevents the Pokémon from falling asleep.
Insomnia,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",The Pokémon is suffering from insomnia and cannot fall asleep.
Insomnia,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",The Pokémon is suffering from insomnia and cannot fall asleep.
Insomnia,"['Scarlet', 'Violet']",The Pokémon’s insomnia prevents it from falling asleep.
Forewarn,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",Determines what moves the foe has.
Forewarn,"['Black', 'White', 'Black 2', 'White 2']",Determines what moves a foe has.
Forewarn,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Determines what moves an opposing Pokémon has.
Forewarn,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']","When it enters a battle, the Pokémon can tell one of the moves an opposing Pokémon has."
Forewarn,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']","When it enters a battle, the Pokémon can tell one of the moves an opposing Pokémon has."
Forewarn,"['Scarlet', 'Violet']","When it enters a battle, the Pokémon can tell one of the moves an opposing Pokémon has."
Hyper Cutter,"['Ruby', 'Sapphire', 'FireRed', 'LeafGreen', 'Emerald']",Prevents ATTACK reduction.
Hyper Cutter,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",Prevents the Attack stat from being lowered.
Hyper Cutter,"['Black', 'White', 'Black 2', 'White 2']",Prevents other Pokémon from lowering Attack stat.
Hyper Cutter,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Prevents other Pokémon from lowering its Attack stat.
Hyper Cutter,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",The Pokémon’s proud of its powerful pincers. They prevent other Pokémon from lowering its Attack stat.
Hyper Cutter,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",The Pokémon’s proud of its powerful pincers. They prevent other Pokémon from lowering its Attack stat.
Hyper Cutter,"['Scarlet', 'Violet']","The Pokémon’s prized, mighty pincers prevent other Pokémon from lowering its Attack stat."
Soundproof,"['Ruby', 'Sapphire', 'FireRed', 'LeafGreen', 'Emerald']",Avoids sound-based moves.
Soundproof,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",Gives full immunity to all sound-based moves.
Soundproof,"['Black', 'White', 'Black 2', 'White 2']",Gives full immunity to all sound-based moves.
Soundproof,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Gives full immunity to all sound-based moves.
Soundproof,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",Soundproofing of the Pokémon itself gives full immunity to all sound-based moves.
Soundproof,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",Soundproofing gives the Pokémon full immunity to all sound-based moves.
Soundproof,"['Scarlet', 'Violet']",Soundproofing gives the Pokémon full immunity to all sound-based moves.
Aftermath,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",Damages the foe landing the finishing hit.
Aftermath,"['Black', 'White', 'Black 2', 'White 2']",Damages the attacker landing the finishing hit.
Aftermath,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Damages the attacker landing the finishing hit.
Aftermath,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",Damages the attacker if it contacts the Pokémon with a finishing hit.
Aftermath,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",Damages the attacker if it contacts the Pokémon with a finishing hit.
Aftermath,"['Scarlet', 'Violet']",Damages the attacker if it knocks out the Pokémon with a move that makes direct contact.
Harvest,"['Black', 'White', 'Black 2', 'White 2']",May create another Berry after one is used.
Harvest,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",May create another Berry after one is used.
Harvest,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",May create another Berry after one is used.
Harvest,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",May create another Berry after one is used.
Harvest,"['Scarlet', 'Violet']",May create another Berry after one is used.
Battle Armor,"['Ruby', 'Sapphire', 'FireRed', 'LeafGreen', 'Emerald']",Blocks critical hits.
Battle Armor,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",The Pokémon is protected against critical hits.
Battle Armor,"['Black', 'White', 'Black 2', 'White 2']",The Pokémon is protected against critical hits.
Battle Armor,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Protects the Pokémon from critical hits.
Battle Armor,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",Hard armor protects the Pokémon from critical hits.
Battle Armor,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",Hard armor protects the Pokémon from critical hits.
Battle Armor,"['Scarlet', 'Violet']",Hard armor protects the Pokémon from critical hits.
Reckless,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",Powers up moves that have recoil damage.
Reckless,"['Black', 'White', 'Black 2', 'White 2']",Powers up moves that have recoil damage.
Reckless,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Powers up moves that have recoil damage.
Reckless,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",Powers up moves that have recoil damage.
Reckless,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",Powers up moves that have recoil damage.
Reckless,"['Scarlet', 'Violet']",Powers up moves that have recoil damage.
Unburden,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",Raises Speed if a held item is used.
Unburden,"['Black', 'White', 'Black 2', 'White 2']",Raises Speed if a held item is used.
Unburden,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Boosts the Speed stat if its held item is used or lost.
Unburden,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",Boosts the Speed stat if the Pokémon’s held item is used or lost.
Unburden,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",Boosts the Speed stat if the Pokémon’s held item is used or lost.
Unburden,"['Scarlet', 'Violet']",Boosts the Speed stat if the Pokémon’s held item is used or lost.
Iron Fist,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",Boosts the power of punching moves.
Iron Fist,"['Black', 'White', 'Black 2', 'White 2']",Boosts the power of punching moves.
Iron Fist,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Powers up punching moves.
Iron Fist,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",Powers up punching moves.
Iron Fist,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",Powers up punching moves.
Iron Fist,"['Scarlet', 'Violet']",Powers up punching moves.
Neutralizing Gas,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']","If the Pokémon with Neutralizing Gas is in the battle, the effects of all Pokémon’s Abilities will be nullified or will not be triggered."
Neutralizing Gas,"['Scarlet', 'Violet']","While the Pokémon is in the battle, the effects of all other Pokémon’s Abilities will be nullified or will not be triggered."
Natural Cure,"['Ruby', 'Sapphire', 'FireRed', 'LeafGreen', 'Emerald']",Heals upon switching out.
Natural Cure,"['Diamond', 'Pearl', 'Platinum']",All status problems are healed upon switching out.
Natural Cure,"['HeartGold', 'SoulSilver']",All status problems heal when it switches out.
Natural Cure,"['Black', 'White', 'Black 2', 'White 2']",All status problems heal when it switches out.
Natural Cure,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",All status conditions heal when the Pokémon switches out.
Natural Cure,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",All status conditions heal when the Pokémon switches out.
Natural Cure,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",All status conditions heal when the Pokémon switches out.
Natural Cure,"['Scarlet', 'Violet']",The Pokémon’s status conditions are cured when it switches out.
Serene Grace,"['Ruby', 'Sapphire', 'FireRed', 'LeafGreen', 'Emerald']",Promotes added effects.
Serene Grace,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",Boosts the likelihood of added effects appearing.
Serene Grace,"['Black', 'White', 'Black 2', 'White 2']",Boosts the likelihood of added effects appearing.
Serene Grace,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Boosts the likelihood of additional effects occurring.
Serene Grace,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",Boosts the likelihood of additional effects occurring when attacking.
Serene Grace,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",Boosts the likelihood of additional effects occurring when attacking.
Serene Grace,"['Scarlet', 'Violet']",Raises the likelihood of additional effects occurring when the Pokémon uses its moves.
Healer,"['Black', 'White', 'Black 2', 'White 2']",May heal an ally’s status conditions.
Healer,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Sometimes heals an ally’s status condition.
Healer,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",Sometimes heals an ally’s status condition.
Healer,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",Sometimes heals an ally’s status condition.
Healer,"['Scarlet', 'Violet']",Sometimes cures the status conditions of the Pokémon’s allies.
Leaf Guard,"['Diamond', 'Pearl', 'Platinum']",Prevents status problems in sunny weather.
Leaf Guard,"['HeartGold', 'SoulSilver']",Prevents problems with status in sunny weather.
Leaf Guard,"['Black', 'White', 'Black 2', 'White 2']",Prevents problems with status in sunny weather.
Leaf Guard,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Prevents status conditions in sunny weather.
Leaf Guard,"['Sun', 'Moon']",Prevents status conditions in sunny weather.
Leaf Guard,"['Ultra Sun', 'Ultra Moon']",Prevents status conditions in harsh sunlight.
Leaf Guard,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",Prevents status conditions in harsh sunlight.
Leaf Guard,"['Scarlet', 'Violet']",Prevents status conditions in harsh sunlight.
Scrappy,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",Enables moves to hit Ghost-type foes.
Scrappy,"['Black', 'White', 'Black 2', 'White 2']",Enables moves to hit Ghost-type Pokémon.
Scrappy,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Makes Normal- and Fighting-type moves hit Ghost-type Pokémon.
Scrappy,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",The Pokémon can hit Ghost-type Pokémon with Normal- and Fighting-type moves.
Scrappy,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",The Pokémon can hit Ghost-type Pokémon with Normal- and Fighting-type moves.
Scrappy,"['Scarlet', 'Violet']",The Pokémon can hit Ghost-type Pokémon with Normal- and Fighting-type moves. It is also unaffected by Intimidate.
Water Veil,"['Ruby', 'Sapphire', 'FireRed', 'LeafGreen', 'Emerald']",Prevents burns.
Water Veil,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",Prevents the Pokémon from getting a burn.
Water Veil,"['Black', 'White', 'Black 2', 'White 2']",Prevents the Pokémon from getting a burn.
Water Veil,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Prevents the Pokémon from getting a burn.
Water Veil,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']","The Pokémon is covered with a water veil, which prevents the Pokémon from getting a burn."
Water Veil,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']","The Pokémon is covered with a water veil, which prevents the Pokémon from getting a burn."
Water Veil,"['Scarlet', 'Violet']",The Pokémon’s water veil prevents it from being burned.
Illuminate,"['Ruby', 'Sapphire', 'FireRed', 'LeafGreen', 'Emerald']",Encounter rate increases.
Illuminate,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",Raises the likelihood of meeting wild Pokémon.
Illuminate,"['Black', 'White', 'Black 2', 'White 2']",Raises the likelihood of meeting wild Pokémon.
Illuminate,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Raises the likelihood of meeting wild Pokémon.
Illuminate,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",Raises the likelihood of meeting wild Pokémon by illuminating the surroundings.
Illuminate,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",Raises the likelihood of meeting wild Pokémon by illuminating the surroundings.
Illuminate,"['Scarlet', 'Violet']",Raises the likelihood of meeting wild Pokémon by illuminating the surroundings.
Filter,"['Diamond', 'Pearl', 'Platinum']",Powers down supereffective moves.
Filter,"['HeartGold', 'SoulSilver']",Reduces damage from supereffective attacks.
Filter,"['Black', 'White', 'Black 2', 'White 2']",Reduces damage from supereffective attacks.
Filter,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Reduces damage from supereffective attacks.
Filter,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",Reduces the power of supereffective attacks taken.
Filter,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",Reduces the power of supereffective attacks taken.
Filter,"['Scarlet', 'Violet']",Reduces the power of supereffective attacks that hit the Pokémon.
Mold Breaker,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",Moves can be used regardless of abilities.
Mold Breaker,"['Black', 'White', 'Black 2', 'White 2']",Moves can be used regardless of Abilities.
Mold Breaker,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Moves can be used on the target regardless of its Abilities.
Mold Breaker,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",Moves can be used on the target regardless of its Abilities.
Mold Breaker,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",Moves can be used on the target regardless of its Abilities.
Mold Breaker,"['Scarlet', 'Violet']",The Pokémon’s moves are unimpeded by the Ability of the target.
Moxie,"['Black', 'White', 'Black 2', 'White 2']",Boosts Attack after knocking out any Pokémon.
Moxie,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Boosts the Attack stat after knocking out any Pokémon.
Moxie,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']","The Pokémon shows moxie, and that boosts the Attack stat after knocking out any Pokémon."
Moxie,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']","The Pokémon shows moxie, and that boosts the Attack stat after knocking out any Pokémon."
Moxie,"['Scarlet', 'Violet']","When the Pokémon knocks out a target, it shows moxie, which boosts its Attack stat."
Rattled,"['Black', 'White', 'Black 2', 'White 2']",Some move types scare it and boost its Speed.
Rattled,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Some move types scare it and boost its Speed stat.
Rattled,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']","Dark-, Ghost-, and Bug-type moves scare the Pokémon and boost its Speed stat."
Rattled,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']","Dark-, Ghost-, and Bug-type moves scare the Pokémon and boost its Speed stat."
Rattled,"['Scarlet', 'Violet']","The Pokémon gets scared when hit by a Dark-, Ghost-, or Bug-type attack or if intimidated, which boosts its Speed stat."
Imposter,"['Black', 'White', 'Black 2', 'White 2']",It transforms itself into the Pokémon it is facing.
Imposter,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",The Pokémon transforms itself into the Pokémon it’s facing.
Imposter,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",The Pokémon transforms itself into the Pokémon it’s facing.
Imposter,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",The Pokémon transforms itself into the Pokémon it’s facing.
Imposter,"['Scarlet', 'Violet']",The Pokémon transforms itself into the Pokémon it’s facing.
Adaptability,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",Powers up moves of the same type.
Adaptability,"['Black', 'White', 'Black 2', 'White 2']",Powers up moves of the same type.
Adaptability,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Powers up moves of the same type as the Pokémon.
Adaptability,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",Powers up moves of the same type as the Pokémon.
Adaptability,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",Powers up moves of the same type as the Pokémon.
Adaptability,"['Scarlet', 'Violet']",Powers up moves of the same type as the Pokémon.
Anticipation,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",Senses the foe’s dangerous moves.
Anticipation,"['Black', 'White', 'Black 2', 'White 2']",Senses a foe’s dangerous moves.
Anticipation,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Senses an opposing Pokémon’s dangerous moves.
Anticipation,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",The Pokémon can sense an opposing Pokémon’s dangerous moves.
Anticipation,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",The Pokémon can sense an opposing Pokémon’s dangerous moves.
Anticipation,"['Scarlet', 'Violet']",The Pokémon can sense an opposing Pokémon’s dangerous moves.
Volt Absorb,"['Ruby', 'Sapphire', 'FireRed', 'LeafGreen', 'Emerald']",Turns electricity into HP.
Volt Absorb,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",Restores HP if hit by an Electric-type move.
Volt Absorb,"['Black', 'White', 'Black 2', 'White 2']",Restores HP if hit by an Electric-type move.
Volt Absorb,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Restores HP if hit by an Electric-type move.
Volt Absorb,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']","Restores HP if hit by an Electric-type move, instead of taking damage."
Volt Absorb,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",Restores HP if hit by an Electric-type move instead of taking damage.
Volt Absorb,"['Scarlet', 'Violet']","If hit by an Electric-type move, the Pokémon has its HP restored instead of taking damage."
Quick Feet,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",Boosts Speed if there is a status problem.
Quick Feet,"['Black', 'White', 'Black 2', 'White 2']",Boosts Speed if there is a status problem.
Quick Feet,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Boosts the Speed stat if the Pokémon has a status condition.
Quick Feet,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",Boosts the Speed stat if the Pokémon has a status condition.
Quick Feet,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",Boosts the Speed stat if the Pokémon has a status condition.
Quick Feet,"['Scarlet', 'Violet']",Boosts the Speed stat if the Pokémon has a status condition.
Trace,"['Ruby', 'Sapphire', 'FireRed', 'LeafGreen', 'Emerald']",Copies special ability.
Trace,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",The Pokémon copies the foe’s ability.
Trace,"['Black', 'White', 'Black 2', 'White 2']",The Pokémon copies a foe’s Ability.
Trace,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",The Pokémon copies an opposing Pokémon’s Ability.
Trace,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']","When it enters a battle, the Pokémon copies an opposing Pokémon’s Ability."
Trace,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']","When it enters a battle, the Pokémon copies an opposing Pokémon’s Ability."
Trace,"['Scarlet', 'Violet']","When it enters a battle, the Pokémon copies an opposing Pokémon’s Ability."
Download,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",Adjusts power according to the foe’s ability.
Download,"['Black', 'White', 'Black 2', 'White 2']",Adjusts power according to a foe’s defenses.
Download,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Adjusts power based on an opposing Pokémon’s stats.
Download,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",Compares an opposing Pokémon’s Defense and Sp. Def stats before raising its own Attack or Sp. Atk stat—whichever will be more effective.
Download,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",Compares an opposing Pokémon’s Defense and Sp. Def stats before raising its own Attack or Sp. Atk stat—whichever will be more effective.
Download,"['Scarlet', 'Violet']",The Pokémon compares an opposing Pokémon’s Defense and Sp. Def stats before raising its own Attack or Sp. Atk stat—whichever will be more effective.
Pressure,"['Ruby', 'Sapphire', 'FireRed', 'LeafGreen', 'Emerald']",Raises foe’s PP usage.
Pressure,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",The Pokémon raises the foe’s PP usage.
Pressure,"['Black', 'White', 'Black 2', 'White 2']",The Pokémon raises the foe’s PP usage.
Pressure,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",The Pokémon raises opposing Pokémon’s PP usage.
Pressure,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']","By putting pressure on the opposing Pokémon, it raises their PP usage."
Pressure,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']","By putting pressure on the opposing Pokémon, it raises their PP usage."
Pressure,"['Scarlet', 'Violet']","Puts other Pokémon under pressure, causing them to expend more PP to use their moves."
Immunity,"['Ruby', 'Sapphire', 'FireRed', 'LeafGreen', 'Emerald']",Prevents poisoning.
Immunity,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",Prevents the Pokémon from getting poisoned.
Immunity,"['Black', 'White', 'Black 2', 'White 2']",Prevents the Pokémon from getting poisoned.
Immunity,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Prevents the Pokémon from getting poisoned.
Immunity,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",The immune system of the Pokémon prevents it from getting poisoned.
Immunity,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",The immune system of the Pokémon prevents it from getting poisoned.
Immunity,"['Scarlet', 'Violet']",The Pokémon’s immune system prevents it from being poisoned.
Snow Cloak,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",Raises evasion in a hailstorm.
Snow Cloak,"['Black', 'White', 'Black 2', 'White 2']",Raises evasion in a hailstorm.
Snow Cloak,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Boosts evasion in a hailstorm.
Snow Cloak,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",Boosts evasion in a hailstorm.
Snow Cloak,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",Boosts evasiveness in a hailstorm.
Snow Cloak,"['Scarlet', 'Violet']",Boosts the Pokémon’s evasiveness in snow.
Marvel Scale,"['Ruby', 'Sapphire', 'FireRed', 'LeafGreen', 'Emerald']",Ups DEFENSE if suffering.
Marvel Scale,"['Diamond', 'Pearl', 'Platinum']",Boosts Defense if there is a status problem.
Marvel Scale,"['HeartGold', 'SoulSilver']",Ups Defense if there is a status problem.
Marvel Scale,"['Black', 'White', 'Black 2', 'White 2']",Ups Defense if there is a status problem.
Marvel Scale,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Boosts the Defense stat if the Pokémon has a status condition.
Marvel Scale,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",The Pokémon’s marvelous scales boost the Defense stat if it has a status condition.
Marvel Scale,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",The Pokémon’s marvelous scales boost the Defense stat if it has a status condition.
Marvel Scale,"['Scarlet', 'Violet']",The Pokémon’s marvelous scales boost its Defense stat if it has a status condition.
Multiscale,"['Black', 'White', 'Black 2', 'White 2']",Reduces damage when HP is full.
Multiscale,"['X', 'Y']",Reduces damage the Pokémon takes when its HP is full.
Multiscale,"['O.Ruby', 'A.Sapphire']",Reduces the damage taken by the Pokémon when its HP is full.
Multiscale,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",Reduces the amount of damage the Pokémon takes when its HP is full.
Multiscale,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",Reduces the amount of damage the Pokémon takes while its HP is full.
Multiscale,"['Scarlet', 'Violet']",Reduces the amount of damage the Pokémon takes while its HP is full.
Super Luck,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",Heightens the critical-hit ratios of moves.
Super Luck,"['Black', 'White', 'Black 2', 'White 2']",Heightens the critical-hit ratios of moves.
Super Luck,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Boosts the critical-hit ratios of moves.
Super Luck,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",The Pokémon is so lucky that the critical-hit ratios of its moves are boosted.
Super Luck,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",The Pokémon is so lucky that the critical-hit ratios of its moves are boosted.
Super Luck,"['Scarlet', 'Violet']",The Pokémon is so lucky that the critical-hit ratios of its moves are boosted.
Magic Bounce,"['Black', 'White', 'Black 2', 'White 2']",Reflects status-changing moves.
Magic Bounce,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Reflects status moves.
