name,effect,cathegory
Plaid Tablecloth (B),A sturdy tablecloth made of thick fabric. The gentle blue plaid gives a table a crisp look.,
Plaid Tablecloth (R),A sturdy tablecloth made of thick fabric. The quietly composed red plaid gives the table some flair.,
Plaid Tablecloth (Y),A sturdy tablecloth made of thick fabric. The cheery yellow plaid brightens up a table.,
Plasma Card,A card key needed to enter the password inside the Plasma Frigate.,Hold items
Plume Fossil,A fossil of an ancient Pokémon that flew in the sky in ancient times. It appears to be part of its wing.,General items
Plump Beans,,General items
Poison Barb,Increases the power of Poison-type moves.,Hold items
Poison Gem,Increases the power of a Poison-type move only once.,Hold items
Poison Memory,Changes Silvally and its move Multi-Attack to Poison type.,Hold items
Poison Tera Shard,Changes a Pokémon's Tera Type to Poison.,
Poisonium Z,"Allows the use of Acid Downpour, the Poison type Z-Move.",Hold items
Poké Ball,Catches wild Pokémon.,Pokeballs
Poké Doll,A doll that attracts Pokémon. Use it to flee from any battle with a wild Pokémon.,General items
Poké Toy,An item that attracts Pokémon. Use it to flee from any battle with a wild Pokémon.,General items
Polished Mud Ball,,General items
Polka-Dot Bottle,"A polka-dot-patterned bottle that’s small, light, and even comes with a cup. The detachable strap makes it handy for walking around with.",
Polka-Dot Cup,"A cup for kids to use at picnics. It’s made of light but strong material. It’s stackable, which makes it handy for carrying around.",
Polka-Dot Tablecloth,"A tablecloth with a fashionable polka-dot pattern. It’s great at repelling water and mold, and stains and smudges wipe right off.",
Pomeg Berry,Increases Friendship but lowers HP EVs.,Berries
Pop Pod,,General items
Potato Salad,This very tart ingredient—a soft salad that’s all about potatoes—pairs tremendously well with bread.,
Potato Tortilla,A very salty ingredient and a popular dish in Paldea. It’s undeniably filling.,
Potion,Restores 20 HP.,Medicine
Power Anklet,"A Pokémon held item that promotes Speed gain on leveling, but reduces the Speed stat.",Hold items
Power Band,"A Pokémon held item that promotes Sp. Def gain on leveling, but reduces the Speed stat.",Hold items
Power Belt,"A Pokémon held item that promotes Defense gain on leveling, but reduces the Speed stat.",Hold items
Power Bracer,"A Pokémon held item that promotes Attack gain on leveling, but reduces the Speed stat.",Hold items
Power Herb,A single-use item to be held by a Pokémon. It allows the immediate use of a move that charges on the first turn.,Hold items
Power Lens,"A Pokémon held item that promotes Sp. Atk gain on leveling, but reduces the Speed stat.",Hold items
Power Plant Pass,This pass serves as an ID card for gaining access to the power plant that lies along Route 13.,Hold items
Power Weight,"A Pokémon held item that promotes HP gain on leveling, but reduces the Speed stat.",Hold items
PP Max,Raises the maximum PP of a move to its maximum.,Medicine
PP Up,Raises the maximum PP of a move.,Medicine
Precooked Burger,"One of the many ingredients that can be used for cooking at your camp. If you’re unsure about what to cook, you can’t go wrong with some burger.",General items
Premier Ball,Catches wild Pokémon; received after buying 10 Poké Balls.,Pokeballs
Pretty Feather,Can be sold for a high price.,General items
Primarium Z,"Allows Primarina to upgrade Sparkling Aria to a Z-Move, Oceanic Operetta.",Hold items
Prism Scale,Evolves Feebas when traded holding the item.,General items
Prison Bottle,Transforms Hoopa Confined to Hoopa Unbound.,Hold items
Prof's Letter,A letter that Professor Sycamore wrote to your mother. A faint but pleasant perfume seems to cling to the paper.,Hold items
Prosciutto,"This ingredient is very salty like regular ham, but the difference is prosciutto is not cooked after it is cured, giving it a fun freshness.",
Protective Pads,An item to be held by a Pokémon. These pads protect the holder from effects caused by making direct contact with the target.,Hold items
Protector,Evolves Rhydon when traded holding the item.,General items
Protein,Increases Attack EVs by 10.,Medicine
Psychic Gem,Increases the power of a Psychic-type move only once.,Hold items
Psychic Memory,Changes Silvally and its move Multi-Attack to Psychic type.,Hold items
Psychic Seed,An item to be held by a Pokémon. It boosts Sp. Def on Psychic Terrain. It can only be used once.,Hold items
Psychic Tera Shard,Changes a Pokémon's Tera Type to Psychic.,
Psychium Z,"Allows the use of Shattered Psyche, the Psychic type Z-Move.",Hold items
Psyduck Down,"Material obtained after defeating/catching Psyduck, used in TM crafting.",General items
Punching Glove,An item to be held by a Pokémon. This protective glove boosts the power of the holder’s punching moves and prevents direct contact with targets.,
Pungent Root,"One of the many ingredients that can be used for cooking at your camp. Though carelessly picked, these herbs can add a fragrant accent to a dish.",General items
Pure Incense,Descreases the likelihood of meeting wild Pokémon. Breeding Chimecho produces Chingling when held.,Hold items
Purple Nectar,A flower nectar obtained at Poni Meadow. It changes the form of certain species of Pokémon.,Hold items
Qualot Berry,Increases Friendship but lowers Defense EVs.,Berries
Quick Ball,Catches wild Pokémon with a higher rate (5x) on the first turn of a battle.,Pokeballs
Quick Candy,Increases a Pokémon's Speed stat by 1.,Medicine
Quick Candy L,Increases a Pokémon's Speed stat.,Medicine
Quick Candy XL,Increases a Pokémon's Speed stat.,Medicine
Quick Claw,"An item to be held by a Pokémon. A light, sharp claw that lets the bearer move first occasionally.",Hold items
Quick Powder,Increases Speed when held by Ditto.,Hold items
Quiet Mint,Changes the Pokémon's stats to match the Quiet nature.,Battle items
Qwilfish Spines,"Material obtained after defeating/catching Qwilfish, used in TM crafting.",General items
Rabuta Berry,A Berry which is very rare in the Unova region. A maniac will buy it for a high price.,Berries
Rage Candy Bar,Heals all major status conditions.,Medicine
Rainbow Slate,A slate overflowing with enigmatic energy. You can feel a strong connection between it and the Rainbow Room at Ramanas Park.,
Ralts Dust,"Material obtained after defeating/catching Ralts, used in TM crafting.",General items
Rare Bone,A bone that is extremely valuable for Pokémon archeology. It can be sold for a high price to shops.,General items
Rare Candy,Raises a Pokémon's level by 1.,Medicine
Rash Mint,Changes the Pokémon's stats to match the Rash nature.,Battle items
Rawst Berry,"If held by a Pokémon, it recovers from a burn.",Berries
Razor Claw,Increases critical-hit ratio. Evolves Sneasel when held at night.,Hold items
Razor Fang,May cause opponent to flinch. Evolves Gligar when held at night.,Hold items
Razz Berry,A Berry which is very rare in the Unova region. A maniac will buy it for a high price.,Berries
Reaper Cloth,Evolves Dusclops when traded holding the item.,General items
Red Apricorn,A red Apricorn. It assails your nostrils.,General items
Red Bell Pepper,An ingredient with some bitterness—but its bitter notes and overall flavor are pleasantly mild compared to its green cousin.,
Red Card,"A card with a mysterious power. When the holder is struck by a foe, the attacker is removed from battle.",Hold items
Red Dish,A dish for picnics. Comes in plenty of colors to choose from based on the food or the mood. The red variety never fails to sell well.,
Red-Flag Pick,"This pick flies a red flag that lends an air of adventure. The flag itself is made of card stock, so it’ll fly proudly even with no wind.",
Red Flute,A toy flute made from red glass. A maniac will buy it for a high price.,General items
Red Nectar,A flower nectar obtained at Ula'ula Meadow. It changes the form of certain species of Pokémon.,Hold items
Red Onion,"An ingredient with some sweetness to it. Its spiciness and fragrance are milder than those of other onions, making it a pleasant bite.",
Red Poké Ball Pick,A sandwich pick with a simple red Poké Ball design. Often used by Trainers who picked a Fire-type Pokémon for their first partner.,
Red Scarf,Raises holder's Cool aspect in a Contest.,General items
Red Shard,A small red shard. It appears to be from some sort of implement made long ago.,General items
Relaxed Mint,Changes the Pokémon's stats to match the Relaxed nature.,Battle items
Relic Band,"A bracelet made in a civilization about 3,000 years ago. A maniac will buy it for a high price.",General items
Relic Copper,"A copper coin used in a civilization about 3,000 years ago. A maniac will buy it for a high price.",General items
Relic Crown,"A crown made in a civilization about 3,000 years ago. A maniac will buy it for a high price.",General items
Relic Gold,"A gold coin used in a civilization about 3,000 years ago. A maniac will buy it for a high price.",General items
Relic Silver,"A silver coin used in a civilization about 3,000 years ago. A maniac will buy it for a high price.",General items
Relic Statue,"A stone figure made in a civilization about 3,000 years ago. A maniac will buy it for a high price.",General items
Relic Vase,"A vase made in a civilization about 3,000 years ago. A maniac will buy it for a high price.",General items
Rellor Mud,"Material obtained after defeating/catching Rellor, used in TM crafting.",General items
Remedy,,Medicine
Repeat Ball,Catches Pokémon already registered in the Pokédex with 3.5x the rate of a standard Poké Ball.,Pokeballs
Repel,An item that prevents weak wild Pokémon from appearing for 100 steps after its use.,General items
Reset Urge,"When used, it restores any stat changes of an ally Pokémon.",Battle items
Resist Feather,Increases Defense EVs by 1.,Medicine
Resist Mochi,Increases Defense EVs.,Medicine
Reveal Glass,A looking glass that reveals the truth. It's a mysterious glass that returns a Pokémon to its original shape.,General items
Revival Herb,"Revives a Pokémon to max HP, but lowers Friendship.",Medicine
Revive,"Revives a fainted Pokémon, restoring half its HP.",Medicine
Ribbon Sweet,Evolves Milcery into Ribbon Flavor Alcremie.,Hold items
Rice,An ingredient with a touch of sweetness. It’s unclear how well this cooked rice will serve as a sandwich filling.,
Rindo Berry,Weakens a supereffective Grass-type attack against the holding Pokémon.,Berries
Ring Target,Moves that would otherwise have no effect will land on the Pokémon that holds it.,Hold items
Riolu Fur,"Material obtained after defeating/catching Riolu, used in TM crafting.",General items
Rock Gem,Increases the power of a Rock-type move only once.,Hold items
Rock Incense,Increases the power of Rock-type moves. Breeding Sudowoodo produces Bonsly when held.,Hold items
Rock Memory,Changes Silvally and its move Multi-Attack to Rock type.,Hold items
Rock Tera Shard,Changes a Pokémon's Tera Type to Rock.,
Rockium Z,"Allows the use of Continental Crush, the Rock type Z-Move.",Hold items
Rockruff Rock,"Material obtained after defeating/catching Rockruff, used in TM crafting.",General items
Rocky Helmet,"If the holder of this item takes damage, the attacker will also be damaged upon contact.",Hold items
Roller Skates,"Attaches roller skates to the bottom of your shoes, allowing you to glide quickly around and perform tricks.",General items
Rolycoly Coal,"Material obtained after defeating/catching Rolycoly, used in TM crafting.",General items
Rookidee Feather,"Material obtained after defeating/catching Rookidee, used in TM crafting.",General items
Room Service,Lowers the Pokémon's speed during Trick Room.,Hold items
Root Fossil,A fossil of an ancient Pokémon that lived in the sea. It appears to be part of a plant root.,General items
Rose Incense,Increases the power of Grass-type moves. Breeding Roselia or Roserade produces Budew when held.,Hold items
Roseli Berry,"If held by a Pokémon, this Berry will lessen the damage taken from one supereffective Fairy-type attack.",Berries
Roto Bargain,Reduces the prices of products at Poké Marts by half.,Battle items
Roto Boost,Raises all stats of your battling Pokémon.,Battle items
Roto Catch,Increases the chance to catch Pokémon a lot.,Battle items
Roto Encounter,Increases the chance of encountering high-level wild Pokémon a lot for a certain period of time.,Battle items
Roto Exp. Points,Increases the Exp. Points your Pokémon receive after battle a little.,Battle items
Roto Friendship,Helps Pokémon in your party grow friendly faster.,Battle items
Roto Hatch,Helps Eggs hatch faster.,Battle items
Roto HP Restore,Fully restores the HP of your battling Pokémon.,Battle items
Roto PP Restore,Fully restores the PP of your battling Pokémon.,Battle items
Roto Prize Money,Triples the prize money you receive after battle.,Battle items
Roto Stealth,Prevents you from encountering wild Pokémon for a certain period of time.,Battle items
Rotom Phone,"The latest model of smartphone. A Pokémon called Rotom lives within it, and it can be used to run all sorts of handy apps.",
Rotom Sparks,"Material obtained after defeating/catching Rotom, used in TM crafting.",General items
Rowap Berry,"If held by a Pokémon and a special attack lands, the attacker also takes damage.",Berries
Rufflet Feather,"Material obtained after defeating/catching Rufflet, used in TM crafting.",General items
Sablenite,Enables Sableye to Mega Evolve during battle.,Hold items
Sableye Gem,"Material obtained after defeating/catching Sableye, used in TM crafting.",General items
Sachet,Evolves Spritzee when traded holding the item.,General items
Sacred Ash,Revives all fainted Pokémon and fully restores their HP.,Medicine
Safari Ball,Catches Pokémon in the Safari Zone or Great Marsh.,Pokeballs
Safety Goggles,Prevents damage from weather and powder.,Hold items
Salac Berry,Raises Speed when HP is low.,Berries
Salad Mix,One of the many ingredients that can be used for cooking at your camp. The assortment of vegetables looks quite appealing and healthy.,General items
Salamencite,Enables Salamence to Mega Evolve during battle.,Hold items
Salandit Gas,"Material obtained after defeating/catching Salandit, used in TM crafting.",General items
Salt,"A very salty seasoning, unsurprisingly. People quite like the grains of salt that can be gathered from the footprints of particularly jagged Naclstack.",
Salt Cake,,General items
Salty Herba Mystica,One of the condiments spoken of as legends. Its mellow saltiness is said to be tremendously effective when it comes to promoting health.,
Sand Radish,,General items
Sandile Claw,"Material obtained after defeating/catching Sandile, used in TM crafting.",General items
Sandwich,"A dish made by sandwiching vegetables, meat, or other ingredients between two pieces of bread. It makes a fantastic meal when out on a picnic.",
Sandygast Sand,"Material obtained after defeating/catching Sandygast, used in TM crafting.",General items
Sassy Mint,Changes the Pokémon's stats to match the Sassy nature.,Battle items
Sausages,One of the many ingredients that can be used for cooking at your camp. These sausages should be boiled before eating.,General items
Scarlet Book,"A record of the expedition that the author, Heath, went on within the Great Crater of Paldea. The book has the name “Sada” written on it in clumsy handwriting.",
Scatter Bang,,General items
Scatterbug Powder,"Material obtained after defeating/catching Scatterbug, used in TM crafting.",General items
Sceptilite,Enables Sceptile to Mega Evolve during battle.,Hold items
Scizorite,Enables Scizor to Mega Evolve during battle.,Hold items
Scope Lens,Increases critical-hit ratio.,Hold items
Scroll of Darkness,A peculiar scroll that can make a certain species of Pokémon evolve. Written upon it are the true secrets of the path of darkness.,
Scroll of Waters,A peculiar scroll that can make a certain species of Pokémon evolve. Written upon it are the true secrets of the path of water.,
Scyther Claw,"Material obtained after defeating/catching Scyther, used in TM crafting.",General items
Sea Incense,Increases the power of Water-type moves. Breeding Marill or Azumarill produces Azurill when held.,Hold items
Seed of Mastery,,General items
Serious Mint,Changes the Pokémon's stats to match a neutral nature.,Battle items
Seviper Fang,"Material obtained after defeating/catching Seviper, used in TM crafting.",General items
Shaderoot Carrot,Produce that the King of Bountiful Harvests’ beloved steed likes to eat. It grew in a gloomy field.,General items
Shalour Sable,Heals all major status conditions.,Medicine
Sharp Beak,Increases the power of Flying-type moves.,Hold items
Sharpedonite,Enables Sharpedo to Mega Evolve during battle.,Hold items
Shed Shell,"A tough, discarded carapace to be held by a Pokémon. It enables the holder to switch with a waiting Pokémon in battle.",Hold items
Shell Bell,An item to be held by a Pokémon. The holder's HP is restored a little every time it inflicts damage.,Hold items
Shellder Pearl,"Material obtained after defeating/catching Shellder, used in TM crafting.",General items
Shellos Mucus,"Material obtained after defeating/catching Shellos, used in TM crafting.",General items
Shinx Fang,"Material obtained after defeating/catching Shinx, used in TM crafting.",General items
Shiny Charm,A shiny charm said to increase the chance of finding a Shiny Pokémon in the wild.,General items
Shiny Stone,Evolves certain species of Pokémon.,General items
Shoal Salt,Pure salt that can be discovered deep inside the Shoal Cave. A maniac will buy it for a high price.,General items
Shoal Shell,A pretty seashell that can be found deep inside the Shoal Cave. A maniac will buy it for a high price.,General items
Shock Drive,Changes Techno Blast to an Electric-type move when held by Genesect.,Hold items
Shroodle Ink,"Material obtained after defeating/catching Shroodle, used in TM crafting.",General items
Shroomish Spores,"Material obtained after defeating/catching Shroomish, used in TM crafting.",General items
Shuca Berry,Weakens a supereffective Ground-type attack against the holding Pokémon.,Berries
Shuppet Scrap,"Material obtained after defeating/catching Shuppet, used in TM crafting.",General items
Silicobra Sand,"Material obtained after defeating/catching Silicobra, used in TM crafting.",General items
Silk Scarf,Increases the power of Normal-type moves.,Hold items
Silver Bottle,"A popular option among hikers. It’s made with titanium, so it doesn’t rust even if it’s used to hold drinks with high sodium content.",
Silver Cup,"A popular option among hikers. It’s made with titanium, so it doesn’t rust even if it’s used to hold drinks with high sodium content.",
Silver Leaf,,General items
Silver Nanab Berry,"Greatly calms a Pokémon in battle, in Let's Go Pikachu/Eevee.",Berries
Silver Pick,"A silver pick that oozes class. Using it on a sandwich lends an extravagant air that’ll make you want to eat up, even if you don’t love the fillings.",
Silver Pinap Berry,"Greatly increases chance of getting items when a Pokémon is caught, in Pokémon Let's Go.",Berries
Silver Powder,Increases the power of Bug-type moves.,Hold items
Silver Razz Berry,Makes a Pokémon easier to catch in Pokémon Let's Go.,Berries
Sinistea Chip,"Material obtained after defeating/catching Sinistea, used in TM crafting.",General items
Sitrus Berry,"If held by a Pokémon, it heals the user's HP a little.",Berries
Skiddo Leaf,"Material obtained after defeating/catching Skiddo, used in TM crafting.",General items
Skrelp Kelp,"Material obtained after defeating/catching Skrelp, used in TM crafting.",General items
Skull Fossil,A fossil from a prehistoric Pokémon that lived on the land. It appears to be part of a head.,General items
Skwovet Fur,"Material obtained after defeating/catching Skwovet, used in TM crafting.",General items
Sky Plate,Increases power of Flying-type moves. Changes Arceus' type to Flying.,Hold items
Sky Tumblestone,,General items
Slakoth Fur,"Material obtained after defeating/catching Slakoth, used in TM crafting.",General items
Slowbronite,Enables Slowbro to Mega Evolve during battle.,Hold items
Slowpoke Claw,"Material obtained after defeating/catching Slowpoke, used in TM crafting.",General items
Slowpoke Cup,"A cup for big-time Pokémon fans. Kids will happily drink out of it, making it a boon to parents.",
Small Bouquet,,General items
Smart Candy,Increases a Pokémon's Special Attack stat by 1.,Medicine
Smart Candy L,Increases a Pokémon's Special Attack stat.,Medicine
Smart Candy XL,Increases a Pokémon's Special Attack stat.,Medicine
Smiling Vee Pick,"A pick designed after Eevee, sporting the Pokémon’s smiling face. It’s easy to grab by the ears, which is part of why it’s so popular.",
Smoke Ball,An item to be held by a Pokémon. It enables the holder to flee from any wild Pokémon without fail.,Hold items
Smoke Bomb,,General items
Smoke-Poke Tail,"One of the many ingredients that can be used for cooking at your camp. When a Slowpoke’s tail falls off, it grows back quickly.",General items
Smoked Fillet,A very salty and bitter ingredient with that unmistakable smoky flavor. It pairs exceptionally well with veggies.,
Smoliv Oil,"Material obtained after defeating/catching Smoliv, used in TM crafting.",General items
Smooth Rock,A Pokémon held item that extends the duration of the move Sandstorm used by the holder.,Hold items
Sneasel Claw,"Material obtained after defeating/catching Sneasel, used in TM crafting.",General items
Snom Thread,"Material obtained after defeating/catching Snom, used in TM crafting.",General items
Snorlium Z,"Allows Snorlax to upgrade Giga Impact to a Z-Move, Pulverizing Pancake.",Hold items
Snorunt Fur,"Material obtained after defeating/catching Snorunt, used in TM crafting.",General items
Snover Berries,"Material obtained after defeating/catching Snover, used in TM crafting.",General items
Snowball,Raises Attack if hit by an Ice-type move.,Hold items
Soda Pop,Restores 50 HP.,Medicine
Soft Sand,Increases the power of Ground-type moves.,Hold items
Solganium Z,"Allows Solgaleo to upgrade Sunsteel Strike to a Z-Move, Searing Sunraze Smash.",Hold items
Sootfoot Root,,General items
Soothe Bell,An item to be held by a Pokémon. It is a bell with a comforting chime that calms the holder and makes it friendly.,Hold items
Soul Dew,Increases the power of Psychic- and Dragon-type moves when held by Latios or Latias. Increases Sp.Atk/Sp.Def prior to Gen 7.,Hold items
Soul Slate,A slate overflowing with enigmatic energy. You can feel a strong connection between it and the Soul Room at Ramanas Park.,
Sour Herba Mystica,This surpassingly sour condiment is said to be super effective in helping the eater recover from exhaustion. Only a scant few people know it exists.,
Spell Tag,Increases the power of Ghost-type moves.,Hold items
Spelon Berry,A Berry which is very rare in the Unova region. A maniac will buy it for a high price.,Berries
Spice Mix,One of the many ingredients that can be used for cooking at your camp. There are over fifty spices contained within this ingredient’s hot flavor.,General items
Spicy Herba Mystica,The legendary condiment said to have the mightiest of all spicy flavors. It’s said that a single bite will kick the metabolism into high gear immediately.,
Spiritomb Fragment,"Material obtained after defeating/catching Spiritomb, used in TM crafting.",General items
Splash Plate,Increases power of Water-type moves. Changes Arceus' type to Water.,Hold items
Spoiled Apricorn,,General items
Spoink Pearl,"Material obtained after defeating/catching Spoink, used in TM crafting.",General items
Spooky Plate,Increases power of Ghost-type moves. Changes Arceus' type to Ghost.,Hold items
Spooky Tablecloth,A pop-art-style tablecloth with Pokémon faces floating up from the deep nighttime blue. This is a must-have for fans of Ghost types.,
Sport Ball,A special Poké Ball for the Bug-Catching Contest.,Pokeballs
Springy Mushroom,,General items
Sprinklotad,"A watering can shaped like a Lotad. It helps promote the healthy growth of any Berries planted in good, soft soil.",General items
Squall Slate,A slate overflowing with enigmatic energy. You can feel a strong connection between it and the Squall Room at Ramanas Park.,
Squawkabilly Feather,"Material obtained after defeating/catching Squawkabilly, used in TM crafting.",General items
Stable Mulch,A fertilizer to be spread on soft soil in regions where Berries are grown. A maniac will buy it for a high price.,General items
Stantler Hair,"Material obtained after defeating/catching Stantler, used in TM crafting.",General items
Star Piece,A shard of a pretty gem that sparkles in a red color. It can be sold at a high price to shops.,General items
Star Sweet,Evolves Milcery into Star Flavor Alcremie.,Hold items
Stardust,"Lovely, red-colored sand with a loose, silky feel. It can be sold at a high price to shops.",General items
Starf Berry,Sharply raises a random stat when HP is low.,Berries
Starly Feather,"Material obtained after defeating/catching Starly, used in TM crafting.",General items
Stealth Spray,,General items
Steel Bottle (B),"A go-to bottle sometimes used while camping. The stainless steel keeps the temperature inside steady, making it great for keeping drinks hot or cold.",
Steel Bottle (R),"A go-to bottle sometimes used while camping. The stainless steel keeps the temperature inside steady, making it great for keeping drinks hot or cold.",
Steel Bottle (Y),"A go-to bottle sometimes used while camping. The stainless steel keeps the temperature inside steady, making it great for keeping drinks hot or cold.",
Steel Gem,Increases the power of a Steel-type move only once.,Hold items
Steel Memory,Changes Silvally and its move Multi-Attack to Steel type.,Hold items
Steel Tera Shard,Changes a Pokémon's Tera Type to Steel.,
Steelium Z,"Allows the use of Corkscrew Crash, the Steel type Z-Move.",Hold items
Steelixite,Enables Steelix to Mega Evolve during battle.,Hold items
Sticky Barb,A held item that damages the holder on every turn. It may latch on to foes and allies that touch the holder.,Hold items
Sticky Glob,,General items
Stone Plate,Increases power of Rock-type moves. Changes Arceus' type to Rock.,Hold items
Stonjourner Stone,"Material obtained after defeating/catching Stonjourner, used in TM crafting.",General items
Strange Ball,,Pokeballs
Strange Souvenir,An ornament depicting a Pokémon that is venerated as a protector in some region far from Kalos.,General items
Stratospheric Slate,A slate overflowing with enigmatic energy. You can feel a strong connection between it and the Stratospheric Room at Ramanas Park.,
Strawberry,"A very tart and sweet ingredient, popular for its ability to make a sandwich visually striking.",
Strawberry Sweet,Evolves Milcery into Strawberry Flavor Alcremie.,Hold items
Stretchy Spring,,General items
Striped Bottle,"A striped bottle that’s small, light, and even comes with a cup. The detachable strap makes it handy for walking around with.",
Striped Cup,"A cup for kids to use at picnics. It’s made of light but strong material. It’s stackable, which makes it handy for carrying around.",
Striped Tablecloth,"A tablecloth with a fashionable striped pattern. It’s great at repelling water and mold, and stains and smudges wipe right off.",
Stunky Fur,"Material obtained after defeating/catching Stunky, used in TM crafting.",General items
Sun Stone,Evolves certain species of Pokémon.,General items
Sunkern Leaf,"Material obtained after defeating/catching Sunkern, used in TM crafting.",General items
Sunrise Flower Pick,A flower pick designed to evoke a glorious sunrise. It’s part of a line of “sky-flower” picks. Using a few is guaranteed to boost that special picnic spirit.,
Sunset Flower Pick,A flower pick designed to evoke a blazing sunset. It’s part of a line of “sky-flower” picks. Using a few is guaranteed to boost that special picnic spirit.,
Super Lure,Attracts Pokémon in the wild.,General items
Super Potion,Restores 60 HP.,Medicine
Super Repel,An item that prevents weak wild Pokémon from appearing for 200 steps after its use.,General items
Surskit Syrup,"Material obtained after defeating/catching Surskit, used in TM crafting.",General items
Swablu Fluff,"Material obtained after defeating/catching Swablu, used in TM crafting.",General items
Swampertite,Enables Swampert to Mega Evolve during battle.,Hold items
Swap Snack,,General items
Sweet Apple,Evolves Applin into Appletun.,Hold items
Sweet Heart,Very sweet chocolate. It restores the HP of one Pokémon by only 20 points.,Medicine
Sweet Herba Mystica,A legendary condiment told of only in books. Word has it that one taste of its sweet flavor stimulates the digestive system and cures a lack of appetite.,
Swift Feather,Increases Speed EVs by 1.,Medicine
Swift Mochi,Increases Speed EVs.,Medicine
Swordcap,,General items
Syrupy Apple,Evolves Applin into Dipplin.,Hold items
Tadbulb Mucus,"Material obtained after defeating/catching Tadbulb, used in TM crafting.",General items
Tamato Berry,Increases Friendship but lowers Speed EVs.,Berries
Tandemaus Fur,"Material obtained after defeating/catching Tandemaus, used in TM crafting.",General items
Tanga Berry,Weakens a supereffective Bug-type attack against the holding Pokémon.,Berries
Tapunium Z,"Allows the Tapus to upgrade Nature's Madness to a Z-Move, Guardian of Alola.",Hold items
Tarountula Thread,"Material obtained after defeating/catching Tarountula, used in TM crafting.",General items
Tart Apple,Evolves Applin into Flapple.,Hold items
Tatsugiri Scales,"Material obtained after defeating/catching Tatsugiri, used in TM crafting.",General items
Tauros Hair,"Material obtained after defeating/catching Tauros, used in TM crafting.",General items
Tectonic Slate,A slate overflowing with enigmatic energy. You can feel a strong connection between it and the Tectonic Room at Ramanas Park.,
Teddiursa Claw,"Material obtained after defeating/catching Teddiursa, used in TM crafting.",General items
Tera Orb,"An orb that holds within it the power to crystallize. When it is charged with energy, it can be used to cause Pokémon to Terastallize.",
Terrain Extender,An item to be held by a Pokémon. It extends the duration of the terrain caused by the holder's move or Ability.,Hold items
Thick Club,Increases Attack when held by Cubone or Marowak.,Hold items
Throat Spray,Raises Sp. Atk when a sound-based move is used.,Hold items
Thunder Stone,Evolves certain species of Pokémon.,General items
Timer Ball,Catches Pokémon with a higher rate the more turns have occurred (up to 4x).,Pokeballs
Timid Mint,Changes the Pokémon's stats to match the Timid nature.,Battle items
Tin of Beans,"One of the many ingredients that can be used for cooking at your camp. When simmered, the beans suffuse a dish with their mild flavor.",General items
Tinkatink Hair,"Material obtained after defeating/catching Tinkatink, used in TM crafting.",General items
Tiny Bamboo Shoot,A small and rare bamboo shoot. It’s quite popular with a certain class of gourmands.,
Tiny Mushroom,A small and rare mushroom. It is sought after by collectors.,General items
TM00,Teaches the move Mega Punch.,Machines
TM001,Teaches the move Mega Punch/Dynamic Punch/Focus Punch/Hone Claws/Work Up/Headbutt/Mega Kick/Take Down.,Machines
TM002,Teaches the move Razor Wind/Headbutt/Dragon Claw/Taunt/Pay Day/Charm.,Machines
TM003,Teaches the move Swords Dance/Curse/Water Pulse/Psyshock/Helping Hand/Fire Punch/Fake Tears.,Machines
TM004,Teaches the move Whirlwind/Rollout/Calm Mind/Teleport/Ice Punch/Agility.,Machines
TM005,Teaches the move Mega Kick/Roar/Rest/Thunder Punch/Mud-Slap.,Machines
TM006,Teaches the move Toxic/Light Screen/Fly/Scary Face.,Machines
TM007,Teaches the move Horn Drill/Zap Cannon/Hail/Protect/Pin Missile/Protect.,Machines
TM008,Teaches the move Body Slam/Rock Smash/Bulk Up/Substitute/Hyper Beam/Fire Fang.,Machines
TM009,Teaches the move Take Down/Psych Up/Bullet Seed/Venoshock/Reflect/Giga Impact/Thunder Fang.,Machines
TM010,Teaches the move Double-Edge/Hidden Power/Dig/Magical Leaf/Work Up/Ice Fang.,Machines
TM011,Teaches the move BubbleBeam/Sunny Day/Will-O-Wisp/Solar Beam/Water Pulse.,Machines
TM012,Teaches the move Water Gun/Sweet Scent/Taunt/Facade/Solar Blade/Low Kick.,Machines
TM013,Teaches the move Ice Beam/Snore/Brick Break/Fire Spin/Acid Spray.,Machines
TM014,Teaches the move Blizzard/Fly/Thunder Wave/Acrobatics.,Machines
TM015,Teaches the move Hyper Beam/Seismic Toss/Dig/Struggle Bug.,Machines
TM016,Teaches the move Pay Day/Icy Wind/Light Screen/Thunder Wave/Screech/Psybeam.,Machines
TM017,Teaches the move Submission/Protect/Dragon Tail/Light Screen/Confuse Ray.,Machines
TM018,Teaches the move Counter/Rain Dance/U-turn/Reflect/Thief.,Machines
TM019,Teaches the move Seismic Toss/Giga Drain/Telekinesis/Roost/Iron Tail/Safeguard/Disarming Voice.,Machines
TM020,Teaches the move Rage/Endure/Safeguard/Dark Pulse/Self-Destruct/Trailblaze.,Machines
TM021,Teaches the move Mega Drain/Frustration/Foul Play/Rest/Dazzling Gleam/Pounce.,Machines
TM022,Teaches the move SolarBeam/Rock Slide/Chilling Water.,Machines
TM023,Teaches the move Dragon Rage/Iron Tail/Smack Down/Thunder Punch/Thief/Charge Beam.,Machines
TM024,Teaches the move Thunderbolt/DragonBreath/X-Scissor/Snore/Fire Spin.,Machines
TM025,Teaches the move Thunder/Waterfall/Protect/Facade.,Machines
TM026,Teaches the move Earthquake/Poison Jab/Scary Face/Poison Tail.,Machines
